id	gender	word	v	c1	c2	syldur	cdur	vdur	precbound	folbound	speechrate	fromstart	fromend	speaker	func	folacc	voic
1001_qui_disent	M	qui	i	k	d	114	79	35	1	-	7.03181	0	1	M19L	f	TRUE	TRUE
1005_si_tu	M	si	i	s	t	128	97	31	2	-	6.72836	0	3	M21L	f	FALSE	TRUE
1006_qui_disait	M	qui	i	k	d	123	96	27	2	-	7.73734	0	2	M17L	f	FALSE	TRUE
1008_qui_te	F	qui	i	k	t	132	132	0	1	-	4.70224	0	2	F14R	f	FALSE	FALSE
1009_qui_ne	F	qui	i	k	n	135	108	27	1	-	5.47508	0	4	F12R	f	FALSE	TRUE
1012_qui_marchent	F	qui	i	k	m	125	84	41	2	-	4.89083	0	1	F16R	f	TRUE	TRUE
1019_si_tu	M	si	i	s	t	152	136	16	1	-	6.06234	0	5	M01L	f	FALSE	TRUE
1024_si_tu	M	si	i	s	t	86	86	0	2	-	5.90092	0	2	M18L	f	FALSE	FALSE
102_super	M	super	y	s	p	164	147	17	-	-	5.35277	2	4	M02R	c	FALSE	TRUE
1037_qui_critiquent	F	qui	i	k	k	89	41	48	2	-	5.16594	0	2	F14R	f	FALSE	TRUE
1038_si_tu	M	si	i	s	t	190	164	26	2	-	6.28202	0	6	M23R	f	FALSE	TRUE
103_hôpitaux	M	hôpitaux	i	p	t	159	108	51	-	1	5.05482	2	1	M09L	c	TRUE	TRUE
103_tu_discutes	M	tu	y	t	d	72	72	0	2	-	9.68495	0	7	M22R	f	FALSE	FALSE
1051_qui_donnent	M	qui	i	k	d	56	35	21	2	-	6.79115	0	1	M23R	f	TRUE	TRUE
1053_qui_te	F	qui	i	k	t	144	123	21	1	-	6.33128	0	1	F16R	f	TRUE	TRUE
1055_si_tout	M	si	i	s	t	96	96	0	2	-	8.90842	0	8	M01R	f	FALSE	FALSE
1066_qui_me	F	qui	i	k	m	78	36	42	1	-	6.88056	0	5	F16L	f	FALSE	TRUE
1069_qui_dit	F	qui	i	k	d	62	62	0	1	-	8.87378	0	1	F14R	f	TRUE	FALSE
106_public	M	public	y	p	b	65	43	22	-	1	8.29669	3	1	M17R	c	TRUE	TRUE
107_instituts	M	instituts	i	t	t	122	69	53	-	1	4.36097	2	1	M09L	c	TRUE	TRUE
1086_si_tu	M	si	i	s	t	151	120	31	2	-	5.81504	0	6	M02R	f	FALSE	TRUE
1089_si_tu	M	si	i	s	t	113	113	0	2	-	5.89191	0	3	M02L	f	FALSE	FALSE
108_soudaine	F	soudaine	u	s	d	135	110	25	-	2	5.80336	2	1	F14L	c	TRUE	TRUE
109_accoutumance	F	accoutumance	u	k	t	123	87	36	-	1	7.52854	1	2	F03L	c	FALSE	TRUE
109_tu_te	F	tu	y	t	t	115	66	49	2	-	5.65342	0	2	F16L	f	FALSE	TRUE
10_soudée	F	soudée	u	s	d	170	132	38	-	-	6.34373	2	3	F16L	c	FALSE	TRUE
10_tu_te	M	tu	y	t	t	167	99	68	-	-	6.23	1	1	M15R	f	TRUE	TRUE
1100_si_personne	F	si	i	s	p	129	107	22	1	-	4.98225	0	2	F04L	f	FALSE	TRUE
1105_qui_te	F	qui	i	k	t	91	81	10	1	-	6.9176	0	7	F08L	f	FALSE	TRUE
1110_qui_disait	F	qui	i	k	d	152	126	26	-	-	7.48449	1	2	F05L	f	FALSE	TRUE
1114_qui_monte	M	qui	i	k	m	137	118	19	1	-	5.73894	0	1	M11L	f	TRUE	TRUE
111_fumer	M	fumer	y	f	m	133	133	0	-	-	8.31792	6	5	M22L	c	FALSE	FALSE
111_tu_prends	F	tu	y	t	p	136	118	18	-	-	6.93145	1	4	F08L	f	FALSE	TRUE
1128_si_tu	F	si	i	s	t	51	51	0	2	-	5.42393	0	4	F16R	f	FALSE	FALSE
1135_si_t_	M	si	i	s	t	153	118	35	2	-	5.461	0	2	M02L	f	FALSE	TRUE
1138_qui_contrôle	M	qui	i	k	k	71	71	0	1	-	5.40988	0	3	M23R	f	FALSE	FALSE
1148_qui_ne	F	qui	i	k	n	130	96	34	2	-	6.45563	0	3	F07R	f	FALSE	TRUE
114_non-fumeurs	M	non-fumeurs	y	f	m	130	105	25	-	2	6.4892	2	1	M21R	c	TRUE	TRUE
114_tu_peux	F	tu	y	t	p	116	86	30	1	-	10.02965	0	7	F06L	f	FALSE	TRUE
1156_qui_me	M	qui	i	k	m	156	156	0	1	-	6.19047	0	2	M01L	f	FALSE	FALSE
115_fumer	F	fumer	y	f	m	144	124	20	-	1	8.2884	3	1	F03L	c	TRUE	TRUE
1162_si_tu	M	si	i	s	t	123	90	33	2	-	5.74749	0	3	M21R	f	FALSE	TRUE
1165_qui_passe	M	qui	i	k	p	127	77	50	-	-	4.55072	1	2	M11R	f	FALSE	TRUE
116_couture	F	couture	u	k	t	178	153	25	-	2	4.88567	2	1	F12L	c	TRUE	TRUE
117_documents	F	documents	y	k	m	151	128	23	-	1	6.59487	3	1	F12L	c	TRUE	TRUE
1200_qui_prêtent	F	qui	i	k	p	139	114	25	-	-	4.30325	1	1	F12L	f	TRUE	TRUE
120_fumette	M	fumette	y	f	m	123	110	13	-	1	5.85689	3	1	M21L	c	TRUE	TRUE
1211_qui_peut	M	qui	i	k	p	82	57	25	2	-	7.41219	0	4	M19L	f	FALSE	TRUE
1219_qui_profitent	M	qui	i	k	p	79	64	15	1	-	6.36923	0	2	M18L	f	FALSE	TRUE
121_tutorat	F	tutorat	y	t	t	159	109	50	-	1	7.3848	1	2	F10L	c	FALSE	TRUE
1221_si_tes	M	si	i	s	t	84	84	0	1	-	8.29822	0	4	M21L	f	FALSE	FALSE
1224_si_toi	F	si	i	s	t	87	87	0	2	-	6.50679	0	1	F16R	f	TRUE	FALSE
1229_qui_t_	F	qui	i	k	t	78	78	0	1	-	4.65341	0	3	F14L	f	FALSE	FALSE
122_super	F	super	y	s	p	234	182	52	-	2	3.39333	1	1	F12L	c	TRUE	TRUE
122_tu_prends	F	tu	y	t	p	83	83	0	2	-	6.56245	0	6	F08R	f	FALSE	FALSE
123_super	F	super	y	s	p	144	125	19	-	2	6.91142	4	1	F04R	c	TRUE	TRUE
1249_si_tu	F	si	i	s	t	64	64	0	1	-	7.68812	0	10	F16R	f	FALSE	FALSE
124_coupé	F	coupé	u	k	p	132	99	33	-	2	9.83344	3	1	F16L	c	TRUE	TRUE
124_qui_te	M	qui	i	k	t	95	45	50	2	-	4.48629	0	3	M18R	f	FALSE	TRUE
1258_si_tu	F	si	i	s	t	153	111	42	2	-	4.21805	0	2	F16R	f	FALSE	TRUE
125_tu_payes	M	tu	y	t	p	107	107	0	1	-	7.85886	0	2	M15R	f	FALSE	FALSE
1260_qui_critiquent	F	qui	i	k	k	156	156	0	-	-	5.31707	2	2	F16R	f	FALSE	FALSE
126_possibilités	M	possibilités	i	s	b	159	105	54	-	2	7.53652	2	4	M18L	c	FALSE	TRUE
127_cité	F	cité	i	s	t	227	188	39	-	2	6.72831	1	2	F13L	c	FALSE	TRUE
1283_qui_collent	M	qui	i	k	k	180	134	46	2	-	5.02558	0	1	M15R	f	TRUE	TRUE
128_écoutais	M	écoutais	u	k	t	163	123	40	-	2	5.5886	2	1	M01L	c	TRUE	TRUE
128_qui_te	M	qui	i	k	t	80	42	38	1	-	2.6394	0	1	M19R	f	TRUE	TRUE
1292_qui_dit	M	qui	i	k	d	152	116	36	2	-	7.41124	0	1	M15R	f	TRUE	TRUE
1296_qui_devraient	F	qui	i	k	d	47	47	0	1	-	9.07388	0	6	F08L	f	FALSE	FALSE
129_soutenaient	M	soutenaient	u	s	t	175	139	36	-	1	4.59446	1	1	M02L	c	TRUE	TRUE
12_public	M	public	y	p	b	144	105	39	-	1	6.91093	2	1	M01L	c	TRUE	TRUE
1300_qui_te	F	qui	i	k	t	62	62	0	2	-	4.04688	0	1	F14R	f	TRUE	FALSE
1301_si_tu	F	si	i	s	t	133	133	0	2	-	6.85761	0	3	F16R	f	FALSE	FALSE
1313_qui_marque	M	qui	i	k	m	148	148	0	2	-	5.89484	0	1	M02R	f	TRUE	FALSE
131_supporte	F	supporte	y	s	p	105	105	0	-	-	10.01192	1	3	F13R	c	FALSE	FALSE
1320_qui_boivent	M	qui	i	k	b	77	58	19	1	-	6.1247	0	1	M21L	f	TRUE	TRUE
1328_si_tu	M	si	i	s	t	190	171	19	2	-	5.74565	0	4	M11L	f	FALSE	TRUE
132_tu_dois	M	tu	y	t	d	138	138	0	1	-	5.35471	0	2	M23R	f	FALSE	FALSE
133_si_tu	M	si	i	s	t	156	107	49	2	-	5.14651	0	4	M21R	f	FALSE	TRUE
1348_si_tu	M	si	i	s	t	125	99	26	1	-	6.62683	0	2	M22L	f	FALSE	TRUE
1351_si_tu	M	si	i	s	t	118	118	0	2	-	8.05364	0	10	M20L	f	FALSE	FALSE
1355_qui_connaissent	M	qui	i	k	k	85	85	0	1	-	6.76599	0	8	M20L	f	FALSE	FALSE
1357_qui_partent	F	qui	i	k	p	122	78	44	1	-	8.89768	0	1	F16L	f	TRUE	TRUE
135_super	M	super	y	s	p	92	92	0	-	-	6.8254	5	4	M15R	c	FALSE	FALSE
1360_si_du	F	si	i	s	d	239	190	49	2	-	5.01776	0	5	F16R	f	FALSE	TRUE
1363_qui_pose	M	qui	i	k	p	112	98	14	1	-	7.22623	0	4	M22R	f	FALSE	TRUE
1367_si_t_	M	si	i	s	t	118	63	55	-	-	10.11763	1	4	M11R	f	FALSE	TRUE
136_fumeur	M	fumeur	y	f	m	105	105	0	-	1	6.31129	2	1	M09R	c	TRUE	FALSE
1375_qui_gouvernent	M	qui	i	k	g	67	36	31	-	-	8.87804	2	2	M02L	f	FALSE	TRUE
