"participant"	"rhymeTarget"	"item"	"coupletOrder"	"conditionLabel"	"vowelFirst"	"durationVowelFirst"	"vowelSecond"	"durationVowelSecond"	"rhymeRating"	"question"	"poa"	"manner"	"rhymeMatch"	"rhymeText"	"cohortSize"	"trial"	"file"
"1"	"1134"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.24	"EY1"	0.14	3	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	80	"hrlaura4_1134_4_2.wav"
"2"	"1149"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.26	"EY1"	0.17	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	11	"hrlaura4_1149_4_2.wav"
"3"	"970"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.19	"EY1"	0.11	5	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	74	"hrlaura4_970_4_2.wav"
"4"	"1155"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.26	"EY1"	0.14	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	41	"hrlaura4_1155_4_2.wav"
"5"	"870"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.21	"EY1"	0.12	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	25	"hrlaura4_870_4_2.wav"
"6"	"1136"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.21	"EY1"	0.06	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	18	"hrlaura4_1136_4_2.wav"
"7"	"1139"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.25	"EY1"	0.12	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	60	"hrlaura4_1139_4_2.wav"
"8"	"1123"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.25	"EY1"	0.06	3	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	11	"hrlaura4_1123_4_2.wav"
"9"	"974"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.25	"EY1"	0.15	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	62	"hrlaura4_974_4_2.wav"
"10"	"990"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.22	"EY1"	0.16	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	15	"hrlaura4_990_4_2.wav"
"11"	"1094"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.2	"EY1"	0.13	3	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	32	"hrlaura4_1094_4_2.wav"
"12"	"336"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.28	"EY1"	0.15	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	20	"hrlaura4_336_4_2.wav"
"13"	"1153"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.25	"EY1"	0.14	3	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	3	"hrlaura4_1153_4_2.wav"
"14"	"1146"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.2	"EY1"	0.15	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	77	"hrlaura4_1146_4_2.wav"
"15"	"602"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.26	"EY1"	0.12	5	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	51	"hrlaura4_602_4_2.wav"
"16"	"944"	"babe"	"4"	"VoicedFirst"	"voice"	"EY1"	0.15	"EY1"	0.08	5	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"labial"	"stop"	"shape"	"What mad pursuit, what tiny babe \nWhat leaf-fring'd legend haunts hy shape"	1	29	"hrlaura4_944_4_2.wav"
"17"	"1149"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.32	"AE1"	0.06	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	61	"hrlaura4_1149_24_2.wav"
"18"	"974"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.29	"AE1"	0.19	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	48	"hrlaura4_974_24_2.wav"
